GPA,Gender,comfort_food
3.654,1,"chocolate, chips, ice cream"
3.3,1,"frozen yogurt, pizza, fast food"
3.2,1,"Pizza, Mac and cheese, ice cream"
3.5,1,"Ice cream, chocolate, chips "
2.25,1,"Candy, brownies and soda."
3.8,2,"Chocolate, ice cream, french fries, pretzels"
3.3,1,"Ice cream, cheeseburgers, chips."
3.3,1,"Donuts, ice cream, chips"
3.3,1,"Mac and cheese, chocolate, and pasta "
3.5,1,"Pasta, grandma homemade chocolate cake anything homemade "
3.904,1,"chocolate, pasta, soup, chips, popcorn"
3.4,2,"Cookies, popcorn, and chips"
3.6,1,"ice cream, cake, chocolate"
3.1,2,"Pizza, fruit, spaghetti, chicken and Potatoes  "
4,1,"Saltfish, Candy and Kit Kat "
3.6,2,"chips, cookies, ice cream"
3.4,1,"Chocolate, ice crea "
2.2,2,"pizza, wings, Chinese"
3.3,2,"Fast food, pizza, subs"
3.87,2,"chocolate, sweets, ice cream"
3.7,2,"burgers, chips, cookies"
3.7,2,"Chilli, soup, pot pie"
3.9,1,"Soup, pasta, brownies, cake"
2.8,1,"chocolate, ice cream/milkshake, cookies"
3.7,2,"Chips, ice cream, microwaveable foods "
3,2,"Chicken fingers, pizza "
3.2,2,"cookies, hot chocolate, beef jerky"
3.5,2,"Tomato soup, pizza, Fritos, Meatball sub, Dr. Pepper"
4,1,"cookies, mac-n-cheese, brownies, french fries, "
4,2,"chips and dip, pepsi, "
3.4,2,"Grandma's Chinese, Peruvian food from back home, and sushi"
2.8,1,"Ice cream, cookies,  Chinese food, and chicken nuggets "
3.65,1,"french fries, chips, ice cream"
3,1,"mac n cheese, peanut butter and banana sandwich, omelet"
3.7,1,"pizza, doughnuts, mcdonalds "
3.4,1,"chocolate, chips, candy"
3.89,1,"chocolate, popcorn, ice cream"
3,2,"CandyPopChocolate Chipotle Moe's "
3.4,2,"Pizza, Ice cream, fries, cereal, cookies  "
2.9,1,"Ice cream, chocolate, twizzlers "
3.6,1,"ice cream, cookie dough, cookies, cheese"
3.5,1,"ice cream, cereal, and salt and vinegar chips "
3.2,1,"Potato chips, ice cream, chocolate, cookies"
3.605,1,"Mac and cheese, fried chicken, cornbread "
3.8,2,"popcorn, chips, candy, & fries "
2.8,2,"Chex-mix, Wegmans cookies, Cheez-Its "
3.5,2,"pizza, ice cream, chips"
3.83,2,"fried chicken. mashed potatoes, mac and cheese"
3.6,2,"Popcorn, Chex Mix, Pizza"
3.3,2,Burger
3.3,2,"Pizza, chocolate, and ice cream "
3.292,2,"fries, chips, fried chicken, pizza, grapes"
3.5,2,"peanut butter sandwich, pretzals, garlic bread"
3.35,1,"chips, dip, fries, pizza"
3.8,2,"Pizza, Ice Cream, Chicken Wings"
2.8,1,Pizza chocolate chips bagels ice Capps 
3.5,1,"Chocolate, ice cream, pasta"
3.7,1,Mac n Cheese. Chips and salsa. Ice cream. 
3.6,1,"peanut butter, dessets, pretzels. "
3.9,2,"ice cream, cookies, ice cream"
2.6,1,"carrots and ranch, pretzels, dark chocolate "
3.5,1,"cookies, nutella, ice cream, coffee, fruit "
3.2,1,mac and cheese
3,1,"Chocolate, Popcorn, Icecream"
3.6,1,"Ice cream, cake, mozzarella sticks, pierogies "
3.2,1,"Chips, Mac and cheese, pizza, French fries "
3.67,1,"Pizza, burritos, slim jims"
3.73,1,"Broccoli, spaghetti squash, quinoa, and grilled chicken"
4,1,"Chocolate, ice cream, cookie dough"
3.1,2,"pizza, pretzels, fruit snacks, deli sandwhich"
3.79,2,"Chips, ice cream"
3,1,"mac and cheese, potato soup, ice cream, chips and cheese"
3.7,1,"chocolate, pizza, and mashed potatoes"
3.1,2,Pizza cookies steak 
3,1,"chocolate, fruit, and ice cream"
3.9,2,Chips sweets popcorn
3.4,1,"Cookies, burgers, chicken noodle soup, ice cream"
3.5,1,"cake, French fries, chicken nuggets"
3.7,1,"pizza, ice cream, cookies"
3.7,1,"Mashed potatoes, pasta"
3.83,1,"Pasta dishes, Cheesecake, Pancakes"
2.6,1,"Ice cream, pizza, cookies"
3,1,"Chinese food, moes, sponge candy, homemade lasagne "
3.2,2,"pizza, pasta, mac and cheese"
3.5,2,"Little Debbie snacks, donuts, pizza"
3.2,1,"carrots, plantain chips, almonds, popcorn "
3.68,2,"chips, ice cream, fruit snacks"
3.8,1,"Macaroni and cheese, chicken noodle soup, pizza"
3.3,2,"Chocolate, Chips, Ice cream, French Fires, Pizza"
3.2,2,"Mac and cheese, lasagna, Chinese food "
3.75,2,"candy, Chinese, mcdonalds"
3.5,2,"Doritos, mac and cheese, ice cream"
3.92,2,"Ice cream, cake, pop, pizza, and milkshakes."
3.9,1,"Mac and Cheese, Pizza, Ice Cream and French Fries "
3.9,2,"Soup, pasta, cake"
3.2,1,"mac & cheese, frosted brownies, chicken nuggs"
3.5,1,"watermelon, grapes, ice cream"
3.4,1,"macaroni and cheese, stuffed peppers, hamburgers, french fries"
3.7,1,"dark chocolate, terra chips, reese's cups(dark chocolate), and bread/crackers with cottage cheese"
3,1,"ice cream, chips, candy"
3,1,"Pizza, soda, chocolate brownie, chicken tikka masala and butter naan "
3.8,1,"Chocolate, Pasta, Cookies"
3.8,1,"Candy, salty snacks, toast"
3.4,1,"Mac in cheese, pizza, mozzarella sticks "
3.7,1,"Ice-cream, pizza, chocolate"
2.9,2,"snacks, chips, "
3.9,1,"Chocolate, Ice cream, pizza"
3.6,1,"ice cream, pizza, Chinese food "
2.8,2,"Burgers, indian and korean food"
3.3,2,"chocolate bar, ice cream, pretzels, potato chips and protein bars."
3.4,1,"Ice cream, chocolate, pizza, cucumber "
3.77,1,"Noodle ( any kinds of noodle), Tuna sandwich, and Egg."
3.63,1,"Chinese, chips, cake"
3.2,2,"chips, rice, chicken curry,"
3.5,1,"wine. mac and cheese, pizza, ice cream "
3,1,Pizza / Wings / Cheesecake
3.882,1,"rice, potato, seaweed soup"
3,2,"Mac n Cheese, Lasagna, Pizza"
3.9,1,"Chocolates, pizza, and Ritz."
